,RIMR,RIVL,BWM-DR01,AIML,IL1R,ASJR,RID,BWM-DL03,PVCR,AINL,SAADL,PVNL,IL1VL,ALNR,AWCR,OLQDL,RMHR,SMBVR,IL1VR,IL1L,BWM-VR05,RIGR,RMGL,URAVR,AIZL,AVAR,ASGL,BWM-VR02,RIFL,AVDR,BWM-VR04,PVQL,URYDR,CEPDR,SMBDL,BWM-DR05,AVHR,URBR,IL2L,RIFR,CEPDL,ADLR,RMGR,SDQR,AIYR,SIAVR,BWM-VL06,BWM-VR07,RIML,SAADR,AFDR,BWM-VL01,ASIL,SIBDL,RIBL,BWM-DL02,URXL,SMDDL,RIPL,ASHL,BWM-VL07,SMDVL,HSNR,RMEL,AIMR,FLPR,AVFR,BWM-VL04,ADFL,AWAR,URYVL,RMDVL,RIPR,RMDVR,AIBL,SAAVL,ASEL,RICR,ADEL,RICL,BWM-VL08,RMDDR,AFDL,BWM-DL05,SAAVR,AWCL,BWM-VR06,RMHL,PVQR,AVDL,RIH,SIADL,OLQVR,URADL,IL2VL,AVL,BAGL,RIAR,RIBR,HSNL,AVM,IL1DR,ASKR,IL2DR,SIBDR,URYDL,AVAL,ASKL,AVHL,AIZR,ADFR,ASHR,AUAL,OLQDR,AIAL,PVPR,OLQVL,PLNR,RMED,CEPVR,RMEV,ALML,PVCL,BWM-DR06,BWM-DR02,AIYL,AWAL,SIADR,BDUR,ALA,URXR,ADAL,AWBR,AWBL,IL2R,BWM-DR04,BWM-DR08,RMDDL,ASER,SABVL,RIR,BWM-DR07,BWM-DL01,AUAR,BWM-VL02,RIVR,AIAR,BWM-VL03,AQR,ADLL,CANL,SMBVL,BAGR,SIBVL,AVKR,RMFL,SDQL,RMDL,RIS,IL2VR,RMFR,URAVL,DVA,BWM-DL07,PVT,URBL,SMDDR,ADAR,AINR,IL1DL,ASIR,URADR,SIAVL,BWM-VR03,FLPL,BWM-DL04,BWM-DL08,ALNL,BWM-VR01,URYVR,ASJL,RMER,ADER,PVNR,SMDVR,AIBR,BWM-VL05,RIAL,BDUL,RMDR,SIBVR,ASGR,unknownFLPR,BWM-VR08,SMBDR,IL2DL,DVC,RIGL,OLLL,OLLR,CEPVL,AVKL,PVPL,AVFL,PVR,BWM-DR03,PLNL,BWM-DL06,CANR,ALMR,AVER,AVBR,AVEL,AVJR,AVBL,AVJL
AVAR,2910240,332880,0,0,126000,0,0,0,1878000,123840,547920,0,0,0,0,0,846720,215280,0,0,0,36720,47280,0,258720,0,0,0,556800,1608240,0,256080,238320,0,1035840,0,197040,1200,0,0,0,1544880,177360,549840,0,1332960,0,0,5305440,1393440,0,0,0,1040640,171120,0,0,2329680,0,0,0,765120,0,0,20160,232560,1196160,0,0,5520,262080,0,29280,764640,586800,2785200,0,3009120,2045760,1114080,720,0,0,0,5889600,0,0,365280,0,414240,72000,1521840,240480,0,480,0,1120320,630480,1009200,797520,0,0,0,85680,809040,1680,1956240,0,1508640,0,0,2452320,0,0,0,1167360,0,0,0,0,0,0,693120,0,0,0,0,324000,0,91440,40560,3783600,173520,0,0,0,0,0,0,0,370560,0,0,1020000,0,1252320,0,0,1512960,0,0,0,340080,209040,1268880,411600,1553760,0,0,0,0,0,256080,0,0,0,1127040,901920,0,0,0,62400,600720,0,3108720,3600,0,24960,0,286800,0,0,1453200,256080,3351360,3981600,0,174240,571200,0,0,0,95280,0,1200,0,2400000,1523760,0,480,0,353280,808560,377040,0,0,42240,0,0,0,1511520,2429520,0,68880,1106640,563520
ASGL,0,0,0,5657040,0,0,101520,0,0,455520,0,0,0,0,421440,0,0,0,0,0,0,0,61440,0,882480,0,0,0,0,0,0,67440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3940560,0,0,0,0,0,0,53760,0,0,0,0,0,0,0,0,221280,0,0,0,0,0,1197840,0,976560,0,0,737280,0,0,40560,0,111840,4008000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330000,0,0,0,0,0,0,3429360,0,0,0,0,0,0,0,0,0,0,225360,780960,0,0,0,0,0,0,9840,0,0,0,0,588960,0,0,0,0,0,0,0,0,0,0,234720,0,234720,3120,0,0,0,0,0,0,0,0,0,4080,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,1324320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330720,0,0,0,0,0,15840,0,0,0,0,0,0,0,0,0
BWM-VR02,0,0,0,0,337920,0,0,0,0,0,0,0,0,0,0,0,0,35280,511920,0,0,0,0,2120400,0,0,0,0,0,0,9340320,0,0,0,0,0,0,0,0,0,0,0,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800240,0,0,0,0,0,0,0,479040,96720,0,0,0,0,0,0,0,0,167280,0,0,0,0,73920,253200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,5516640,0,0,0,0,0,0,0,0,0,0,1494000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448800,0,60720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,2538720,0,0,80160,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIFL,0,0,0,2136720,0,0,0,0,0,0,0,1015680,0,0,0,5520,0,0,0,0,0,0,1632240,0,44160,556800,0,0,0,169680,0,887520,0,0,0,0,1284720,0,0,16560,97920,0,0,0,0,0,0,0,3200400,0,0,0,0,16800,0,0,112320,0,0,5386800,0,0,503760,0,0,0,2264880,0,857280,0,0,0,0,0,822960,0,0,0,211680,0,0,0,0,0,0,0,0,0,0,170880,0,0,0,63840,0,0,0,0,0,1372560,42000,0,0,0,0,0,560640,333360,734400,0,0,0,0,0,912240,150000,0,0,0,0,0,1173600,0,0,0,58560,309840,96480,165600,21600,0,300000,0,1047840,0,0,0,0,0,0,156480,0,0,0,0,0,0,0,0,421440,0,901920,0,0,40800,0,292080,0,2880,0,0,0,0,0,0,0,0,0,0,27120,0,0,0,0,0,0,0,0,0,0,28800,0,0,2743920,0,0,0,0,4329600,0,146880,0,0,0,24960,67920,0,242880,0,0,82080,0,2448480,3252000,0,0,0,0,0,0,293520,450720,316080,921360,1994640,837360
AVDR,399840,0,0,19680,0,25680,4142640,0,461760,0,2400,12000,0,0,5280,70800,0,0,0,0,0,5520,525600,0,86160,1608240,0,0,169680,0,0,265440,234000,17040,0,0,672240,215520,0,57600,0,273840,0,211200,0,0,0,0,925920,0,0,0,0,332880,0,0,0,0,0,678000,0,192000,0,0,430800,0,192240,0,0,0,206160,133200,0,0,311280,204720,0,74880,34800,487200,0,0,0,0,62400,0,0,0,9120,198240,0,947760,0,0,0,0,918240,0,0,53040,1619280,0,139920,2400,374880,88560,772080,0,0,207120,0,137040,173040,6960,89520,0,103440,0,0,0,0,795840,2063520,0,0,68880,0,0,108480,142560,30960,1449600,0,0,0,0,0,0,0,0,113760,0,0,0,0,456240,0,0,1025040,1254480,0,386880,1278240,349920,314160,0,0,0,0,0,1920,0,1898160,0,0,971280,0,374880,5520,55200,17760,0,84720,0,0,0,0,0,0,0,0,0,548160,604080,295440,224400,0,0,1374480,0,2227920,0,2571840,0,0,100800,0,1838160,0,114720,124800,0,657360,315840,0,0,0,0,0,2634240,585360,2691120,1354560,3597600,2884560,122160
BWM-VR04,0,372960,0,0,69120,0,0,0,0,0,0,0,0,0,0,0,0,606000,48480,0,0,0,0,246960,0,0,0,9340320,0,0,0,0,0,184320,0,0,0,0,0,0,0,0,377040,0,0,0,0,0,272640,0,0,0,0,0,0,0,0,0,0,0,0,37440,0,959760,0,0,0,0,0,0,0,1879920,7200,0,0,0,0,0,0,0,0,108480,0,0,0,0,11266080,9600,0,0,0,0,5040,0,0,0,0,0,0,0,0,0,0,0,198000,0,0,0,0,0,0,0,0,0,0,0,0,1680,0,950640,0,0,0,59280,632400,0,0,0,0,0,0,0,0,0,0,3100320,31920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788400,0,784560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324960,0,0,0,9840,0,0,0,0,15360,0,1160160,0,0,20640,2494560,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0
PVQL,0,0,0,1292640,0,0,8160,0,0,0,0,168960,0,0,0,0,0,0,0,0,0,0,1651440,0,0,256080,67440,0,887520,265440,0,0,0,0,0,0,0,0,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052000,0,0,586560,0,0,0,2690880,0,0,0,0,0,0,0,54960,0,596400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3927360,0,0,0,0,0,0,0,6345600,0,0,0,0,0,0,3412080,0,0,0,0,0,0,0,0,0,0,92160,1404000,0,0,2674320,0,312240,0,0,0,0,0,32640,0,0,0,0,0,0,0,0,0,0,0,1170000,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6837840,0,0,174960,0,0,0,0,13920,0,650160,0,0,0,0,0,0,0,15600,0,0,0,0,3422160,0,0,0,0,0,0,0,36720,0,762240,0,0
URYDR,89040,97440,54960,0,0,21840,0,0,0,43920,0,0,0,0,74640,0,0,0,0,0,0,486480,0,0,0,238320,0,0,0,234000,0,0,0,1837200,0,4560,67440,80160,0,0,0,71040,0,0,0,0,0,0,0,0,0,0,0,34080,0,0,0,680640,0,0,0,0,0,0,58320,0,1680,0,0,0,0,0,0,3184320,34320,87600,480,0,0,0,0,0,0,0,112320,60240,0,0,0,305280,2703600,0,0,0,0,201840,0,0,2447040,0,0,3658320,55920,1016160,1440,0,0,0,0,0,0,0,0,2988720,0,0,0,0,2200560,0,74880,0,0,0,0,0,0,143760,0,38640,1182240,0,0,0,0,0,0,2240160,2160,0,0,0,0,27360,0,87840,240,0,0,0,0,0,27120,82080,103920,0,0,0,226320,0,234000,0,344640,0,107760,0,0,154800,79200,0,32880,1322880,0,0,0,0,0,0,0,0,0,433680,0,0,6240,62160,0,0,0,0,0,0,26160,0,94560,0,171840,0,0,117120,0,0,0,53760,0,267840,0,0,0,0,139920,86400,1700400,62160,137520,46320
CEPDR,0,22080,643920,0,50880,0,0,0,0,33120,0,41040,0,151200,0,0,65280,0,0,0,0,0,0,0,0,0,0,0,0,17040,184320,0,1837200,0,1693920,982560,62400,2580960,0,81600,126960,0,1508880,0,0,11760,0,0,0,0,0,0,0,0,0,0,0,1937280,0,0,0,0,0,0,70560,0,0,0,0,0,0,40560,205200,2463840,0,0,0,507600,0,1061280,0,231360,0,0,0,0,0,909360,0,58320,1272720,252000,0,0,0,0,0,1571520,28320,0,0,1404960,0,812400,0,0,0,0,0,0,0,0,0,1978080,0,0,0,0,0,0,0,0,0,770400,0,0,0,0,76080,0,2062320,86160,0,0,0,736080,1203120,1143600,0,0,0,665040,0,173040,0,0,0,0,0,0,0,0,4560,109680,0,890640,0,166080,709920,0,0,0,156480,115920,0,0,0,0,24960,0,14160,1473600,0,0,0,0,0,0,0,0,0,0,169200,0,0,0,0,9840,0,2028720,880080,0,0,0,0,0,0,0,0,2318640,0,0,0,0,1327920,127440,0,0,0,922080,0,0,1615200,28800,0,0
SMBDL,0,566160,802080,0,0,40560,569520,0,0,0,1940400,0,29280,1602960,0,0,0,273840,0,0,0,0,1350480,0,3181200,1035840,0,0,0,0,0,0,0,1693920,0,686400,28080,951600,19920,0,0,0,37200,192960,0,0,0,0,895440,10800,0,0,0,5381760,194640,0,0,48240,0,0,0,523920,0,0,241440,0,3600,0,480,0,123360,0,0,0,0,1263120,0,691440,8400,1440480,0,213120,0,0,4172640,0,0,159840,0,0,780000,6630480,0,0,57600,0,0,40080,0,0,0,0,0,0,1067760,123840,55680,0,0,10320,0,0,0,1753920,0,0,0,0,329040,0,72960,0,124560,311760,54240,0,0,0,0,0,403920,599040,0,5760,0,338400,0,2831760,0,0,318240,264000,0,0,0,1434720,0,0,155520,0,0,9213840,0,3216480,2408880,1400160,0,0,0,0,0,10320,2903280,0,883200,0,0,0,3120,0,0,0,3162000,0,4560,0,0,0,0,0,0,0,177840,0,0,806880,0,1600800,0,5760,4219920,0,75600,0,712320,0,3120,1125360,2880,0,0,628560,29520,0,0,188880,48960,0,0,633360,676080,22080,0,0,0,0
BWM-DR05,0,0,417600,0,0,0,0,791280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4560,982560,686400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570000,0,0,0,3120,0,213600,0,0,0,0,0,0,0,0,0,46560,0,0,0,0,0,30720,0,681600,0,1052640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206160,0,550560,0,0,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,1791600,0,0,0,4577040,51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12720,0,0,110880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359760,0,0,39600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12805680,0,0,0,0,0,0,0,0,0,0
AVHR,0,0,0,410880,0,40800,0,0,51360,0,208320,0,0,137520,1920,0,0,0,0,0,0,0,0,0,0,197040,0,0,1284720,672240,0,0,67440,62400,28080,0,0,0,0,669840,0,346560,0,95520,0,0,0,0,339840,0,0,0,0,125520,0,0,681120,0,0,2139600,0,0,687840,0,149520,0,0,0,1138800,0,120720,0,0,0,0,0,0,0,0,31920,0,0,0,0,0,0,0,0,0,0,0,25920,0,0,0,0,0,0,0,184560,658560,29280,193200,0,0,0,1499760,0,300480,0,0,265920,0,43680,234240,230880,125760,0,0,0,0,0,2455200,0,0,558000,289680,0,479040,190320,127200,706800,0,3264240,0,0,0,0,0,0,3597120,0,0,0,0,854640,0,0,584640,678720,0,2049120,0,0,348720,95040,0,0,0,0,0,0,589440,0,0,0,0,0,741360,0,2160,7440,155520,0,0,0,0,0,0,0,0,0,243600,487440,452640,0,0,156960,70560,0,76560,0,120240,0,0,0,0,996240,0,0,0,580800,5846400,386400,0,0,0,0,0,411120,349440,3517440,0,3584160,3658800,709200
URBR,231360,0,0,0,1492080,90480,0,0,181200,0,213840,0,0,123120,0,0,33600,424800,0,0,0,52080,0,4800,0,1200,0,0,0,215520,0,0,80160,2580960,951600,0,0,0,0,0,0,55680,180480,164400,0,527760,0,0,0,0,0,0,0,72480,0,0,0,44160,0,0,0,0,0,0,0,0,71520,0,0,0,0,0,43920,0,0,0,0,2121360,0,1348080,0,51360,0,0,0,0,0,1851120,0,782160,0,13440,406320,0,0,3840,0,6240,0,0,0,0,65520,0,1473120,0,153120,0,0,0,0,0,0,426000,0,0,0,0,0,1824480,0,0,0,0,0,0,0,2640,0,82320,2546640,0,0,0,1264800,0,0,557280,0,0,0,0,0,0,0,10320,0,0,0,0,0,0,0,589200,41520,0,0,237360,0,0,0,0,84720,0,16560,0,0,1482720,0,0,3600,0,0,0,0,0,0,0,0,0,0,6720,1721040,0,10800,0,0,0,0,7920,1539360,0,167760,0,201360,0,32880,0,0,1390800,0,0,0,0,56880,0,0,0,0,804000,72720,72240,0,0,64080,138960
IL2L,0,113280,0,0,0,0,4560,0,0,0,0,0,324000,0,11760,2215440,12960,0,0,1474800,0,0,512880,0,0,0,0,0,0,0,0,3840,0,0,19920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100320,0,0,213600,123600,137520,0,414240,0,35280,0,0,196800,0,817440,0,0,0,0,0,0,0,0,0,0,38640,0,21120,32160,353520,107280,0,0,24240,0,0,160800,0,0,0,0,4107600,0,0,1512720,244080,0,0,0,0,0,0,0,0,0,0,0,720,159120,0,0,0,0,16800,0,0,0,1227600,0,1043760,0,899520,0,0,0,0,0,6480,0,0,161040,0,0,0,0,0,0,0,0,23760,0,0,0,0,0,0,0,0,0,0,139920,0,500400,0,49200,0,0,0,138240,0,0,0,1571520,0,0,0,1974000,0,0,144960,181920,0,0,248640,0,0,0,0,0,0,0,150720,6097200,0,0,0,0,0,0,0,586080,123120,0,0,0,0,111120,0,0,2200080,0,0,0,0,30000,0,0,0,0,0,0,0,0,67920,0,0,0
RIFR,3681840,0,0,0,0,35280,0,0,90480,0,0,90480,0,0,0,0,0,179040,0,0,0,0,0,0,4320,0,0,0,16560,57600,0,0,0,81600,0,0,669840,0,0,0,0,555120,708000,75840,149040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,914400,0,1379760,272880,1795200,0,6240,1224240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374400,0,0,0,0,0,0,0,0,60000,0,1116240,253920,20640,1046160,93600,0,0,0,0,1097520,36960,577200,4928400,0,0,0,1818000,0,0,0,71280,0,0,0,6240,0,0,0,0,4344000,0,248880,0,266160,0,0,0,0,0,258960,0,0,0,0,0,0,0,1813440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491280,0,0,0,48240,0,0,0,0,0,0,0,0,0,0,318240,195600,0,592080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914000,0,0,0,0,0,361920,95040,3069600,0,36720,0,2131200
CEPDL,0,13680,0,30240,0,0,0,507360,0,83760,0,33360,0,0,1200,2502480,532080,0,0,146640,0,0,1321440,0,0,0,0,0,97920,0,0,0,0,126960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,726240,0,195600,0,0,0,0,0,0,0,2640,1001040,0,0,0,2832240,0,78240,0,0,0,1316160,512640,1675200,0,1299120,32160,93360,0,0,0,89280,0,55200,1258320,0,0,495360,0,0,0,61200,0,0,0,0,0,0,42480,1919520,222000,0,75840,0,0,0,444240,0,0,0,0,0,0,0,0,777840,0,0,0,0,0,84240,0,0,0,28080,0,0,0,0,0,746640,0,0,0,102720,211440,0,0,0,0,0,0,0,0,0,0,865440,0,1680,0,1682640,1737360,0,1043280,0,0,2007120,2160,3092160,2332320,0,9840,1326240,0,0,0,0,0,3531600,616320,0,0,0,48720,0,0,120480,0,0,0,2352720,105120,77520,0,0,0,0,1636320,1038480,4560,10560,2333280,0,0,0,0,0,878640,0,0,596400,0,0,1884000,14160,0,0,0,42240
ADLR,0,0,0,0,52080,1200,0,0,167520,0,0,0,0,0,2848080,0,0,2631120,0,0,0,10320,0,0,0,1544880,0,0,0,273840,0,0,71040,0,0,0,346560,55680,0,555120,0,0,106800,0,0,0,0,0,0,0,72240,0,0,57840,0,0,0,0,0,0,0,0,132000,0,0,0,0,0,0,4694880,0,0,0,0,0,0,0,0,0,7440,0,0,0,0,10800,152880,0,0,1469040,1311840,0,0,343440,0,0,0,0,0,0,0,0,101040,3019200,118560,0,0,126480,147600,2259600,20160,386400,2378400,0,83520,0,632400,0,0,0,0,0,0,0,0,0,0,0,0,0,857280,9840,0,2113920,0,53280,0,0,0,3571200,0,14880,0,0,0,0,0,1672080,0,7200,476640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860160,0,0,31200,0,0,0,0,0,0,0,0,166080,0,0,0,0,0,3653040,0,0,0,0,0,0,66480,0,0,0,0,0,0,110160,0,0,0,464880,0,0,0,0,28560,0,0,12000,0,198960,0,209760
RMGR,126960,596160,0,0,266880,655920,0,0,25920,0,1176960,1878240,0,2099520,0,0,1110480,1761360,0,0,0,2160,0,0,0,177360,0,19440,0,0,377040,0,0,1508880,37200,0,0,180480,0,708000,0,106800,0,0,0,322560,0,0,0,642480,0,0,0,544800,0,0,0,346800,0,0,0,268080,991200,0,1961520,0,1220400,0,0,3120,0,694800,0,1222320,332880,0,0,1180560,0,184560,0,0,0,0,170880,0,704160,3534720,1772400,56640,0,564480,0,0,0,47280,0,0,34320,860640,156000,0,25200,0,672960,0,0,0,37200,0,0,798000,0,0,0,0,0,1811520,0,428400,0,0,129840,1285680,0,0,0,251760,530880,74160,2859120,0,92640,0,369600,119520,986400,1717440,33120,0,0,0,0,0,0,0,102720,0,0,0,0,0,0,831360,81120,3427200,0,3870480,913680,0,0,0,0,0,0,0,91200,981600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56400,1260240,0,0,0,187680,0,1848240,1331760,13440,402960,1343760,823200,0,0,0,0,172560,0,114480,0,2780640,40560,0,0,0,0,329760,845520,438000,0,0,0,532800
SDQR,196320,1616640,0,0,0,0,0,0,0,0,1767360,346080,3120,0,0,0,990480,0,0,0,0,0,0,0,0,549840,0,0,0,211200,0,0,0,0,192960,0,95520,164400,0,75840,0,0,0,0,0,610080,0,0,742560,0,0,0,0,116400,0,0,0,32160,0,0,0,0,0,0,0,0,0,0,0,0,19200,580800,0,32160,1449360,373920,0,2115120,66240,1019760,0,0,0,0,681120,0,0,927840,0,0,0,546240,0,0,0,0,0,447600,0,39840,7920,0,0,0,1440,0,532080,0,0,0,0,0,0,0,0,4080,0,6240,0,154560,0,0,0,0,0,0,0,0,87600,0,0,1031520,0,0,0,0,0,107040,0,0,131520,0,0,0,0,3188160,0,0,15360,0,0,0,0,857280,0,970320,6188160,0,0,0,606240,0,1886880,0,8160,0,65760,487440,51840,0,0,0,24720,0,132240,0,0,0,0,0,0,0,510240,753840,368400,156960,0,32880,0,18960,406320,0,0,0,0,0,0,0,0,0,73200,0,0,0,1386960,0,0,0,0,2761680,0,2739360,0,0,984960,0
AIYR,139680,0,0,0,0,0,0,0,21360,1292400,0,0,0,0,1772160,0,0,300480,0,0,0,0,0,0,5760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149040,0,0,0,0,0,204960,0,0,10320,0,7715760,0,0,0,0,0,0,0,0,0,0,0,0,0,494880,110640,0,0,0,2278560,0,0,0,0,0,0,1646640,0,0,0,0,0,27360,0,0,3111120,0,0,88800,0,460080,0,0,0,0,0,2652960,2449680,4236720,0,83040,0,0,0,334800,0,0,0,0,5467200,428160,148080,0,0,0,0,0,0,0,0,0,0,50880,0,0,320880,0,0,18000,0,266640,0,712800,0,4320,0,0,0,6569520,0,487680,0,0,4456560,0,71760,719280,0,86640,0,0,0,484560,0,831120,0,0,0,1972080,0,0,0,0,0,0,0,0,0,650640,0,1058640,0,0,0,13680,0,0,0,0,0,0,0,57600,0,0,1764480,0,0,0,0,0,53760,0,0,248880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139680,175680,0,2160,516480
SIAVR,370560,2259840,0,0,0,0,0,0,1076880,0,0,80640,0,0,0,0,632160,4207920,166560,0,0,0,0,96720,0,1332960,0,0,0,0,0,0,0,11760,0,0,0,527760,0,0,0,0,322560,610080,204960,0,0,0,0,0,0,0,0,174960,0,0,0,57360,0,0,0,1276560,0,0,477840,183360,0,0,0,11760,0,834720,0,398880,275280,468480,0,2297520,0,147360,0,0,0,0,0,0,0,12720,0,123120,0,154080,143760,0,0,310560,0,268800,293760,0,25440,0,0,0,4917840,0,1680,0,35760,0,353520,0,0,0,0,222720,0,2625600,0,218640,0,0,353040,0,0,0,0,3195360,0,0,10800,0,83760,0,0,0,0,241920,0,0,0,0,0,0,0,0,51120,0,46560,0,0,0,0,1795920,435120,0,0,1777440,343680,72480,80880,0,3773280,0,2400,0,6000,202560,0,0,0,0,0,0,275520,0,0,0,0,0,0,0,11280,15840,0,0,0,1602240,0,4320,2774400,0,158400,0,3975840,0,144960,0,0,89520,0,52800,0,0,660960,0,0,0,0,0,56880,200880,1123200,0,1227600,132000
BWM-VL06,887040,0,0,0,0,0,0,0,0,0,135120,0,0,0,0,0,0,0,0,36480,0,0,473040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311040,0,0,0,0,0,0,0,0,0,0,0,0,0,14679840,0,0,0,0,0,1704960,0,0,0,0,0,0,4264800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,0,0,0,0,0,30720,738480,0,0,0,0,0,591120,0,0,11040,0,0,387120,0,0,87360,8160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16080,0,0,112560,0,0,0,0,686160,0,0,0,0,0,0,0,0,0,0,55200,34560,0,0,0,0,99360,0,0,0,0,0,0,0,0,0
BWM-VR07,0,604080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216000,0,0,6419520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39120,0,0,431280,196800,0,0,0,0,0,0,0,0,0,1837200,0,372720,0,0,0,0,0,0,0,174000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15600,1347120,267120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159680,0,0,0,0,0,0,0,0,0,0,0,0,29520,139440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIML,1095600,1334160,0,0,0,0,406080,0,0,0,4705680,466560,7200,179760,0,0,0,0,0,0,0,748800,391680,0,6137520,5305440,0,0,3200400,925920,272640,0,0,0,895440,0,339840,0,0,0,0,0,0,742560,10320,0,0,0,0,6113520,0,0,0,2039520,3222720,0,20400,2706960,0,609600,0,3953520,0,0,0,0,208800,0,248640,0,132240,0,0,0,404400,4951680,0,0,0,783120,0,0,0,0,7871760,136080,852000,129840,0,355440,0,1330800,0,0,19920,19920,31440,0,342000,1680,86640,0,0,0,898560,162480,1964400,0,0,0,0,0,639600,0,0,0,0,0,23040,14160,294240,0,443760,248880,0,913680,0,168960,0,0,0,6495600,0,0,0,292560,347760,0,0,0,0,0,0,0,0,266640,0,0,0,426720,0,134640,66960,1400160,2747280,2485440,126240,1997280,3008640,0,663360,0,818640,0,0,0,4402800,0,0,0,0,0,1452960,0,0,0,0,0,0,0,0,0,85200,275760,3027600,5404320,0,892800,737040,7916400,249840,0,0,132000,0,0,352320,1130400,227280,0,0,4402560,397440,0,0,0,0,0,0,0,543840,3379200,1983120,1262400,4237440,0
SAADR,5550000,3062880,0,0,0,0,60480,0,0,0,3396000,480,0,30960,0,0,450000,4712160,0,234960,1920,1748400,1106160,0,0,1393440,0,0,0,0,0,0,0,0,10800,0,0,0,100320,0,0,0,642480,0,0,0,0,0,6113520,26400,0,0,0,0,621120,0,0,0,0,0,0,6291840,0,0,0,0,12960,0,0,0,0,705600,0,0,1077600,941760,0,102960,1990080,30720,0,1403760,0,0,10320,0,94560,183120,0,82800,0,0,0,0,0,116160,0,510720,0,0,23040,0,0,0,162960,57600,1006080,0,0,0,0,0,0,0,0,0,0,841440,0,0,0,750720,0,0,0,0,0,1402080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7440,0,0,91200,0,0,139920,0,350880,125040,2886720,872880,0,4173120,0,3182640,0,393120,0,0,219360,1645680,698640,0,0,0,0,54240,27840,0,0,0,600480,0,169440,0,0,12240,591360,321360,514560,0,0,0,8160,979680,0,0,10320,2257440,0,224880,285840,875040,0,0,2683440,0,125760,0,0,0,0,0,0,260640,0,505200,63600,0,0
